start	duration	text
00:00:00.160	4.00	What's up everybody? In this video, I'll
00:00:02.240	4.16	be covering the Resto Druid and all of
00:00:04.160	4.32	the reasons why it may or may not be the
00:00:06.400	3.76	right healer for you. As with any of my
00:00:08.480	3.84	other class picking guides, the goal
00:00:10.160	4.00	here is to make your decision easier.
00:00:12.320	4.08	So, feel free to leave a comment if you
00:00:14.160	4.96	have questions. So, with that out of the
00:00:16.400	4.88	way, restoids in vanilla. They were
00:00:19.119	4.16	known for being generally an undesirable
00:00:21.279	4.40	healer, but that does not follow them
00:00:23.279	4.24	into TPC. And that's partly due to the
00:00:25.680	4.08	several changes that were made to the
00:00:27.519	4.24	way that healing overtime spells worked.
00:00:29.760	4.48	There can now be multiple applications
00:00:31.760	4.56	of the same healing overtime spell on a
00:00:34.239	4.32	single target, and bonus healing from
00:00:36.320	4.16	gear has a much greater contribution to
00:00:38.559	4.00	their effects. But that's not the only
00:00:40.480	3.84	thing that changed with druids. They
00:00:42.559	3.60	received a new talent called tree of
00:00:44.320	3.92	life, which drastically changed their
00:00:46.160	3.92	play style. This is a new shapeshift
00:00:48.239	3.76	form that's exclusive to the resto
00:00:50.079	4.24	druid. And like any other druid
00:00:52.000	4.32	shapeshift form, it grants enhanced
00:00:54.320	3.84	capabilities for your role while
00:00:56.320	3.76	limiting your ability to use spells
00:00:58.160	5.04	outside of your role. While in tree
00:01:00.079	5.12	form, you have a 20% reduced cost on all
00:01:03.199	3.84	healing overtime spells. It's hard to
00:01:05.199	3.76	state just how good that is. The
00:01:07.040	4.00	secondary benefit that tree form
00:01:08.960	4.32	provides is the aura that it gives to
00:01:11.040	5.36	your group members. It increases their
00:01:13.280	5.28	healing taken by 25% of your total
00:01:16.400	4.24	spirit. And that ends up being quite a
00:01:18.560	4.24	significant bonus because of the amount
00:01:20.640	4.08	of spirit that resto druids have on
00:01:22.799	3.76	their gear. Like I already mentioned,
00:01:24.720	4.24	there are some negatives that come with
00:01:26.560	4.24	any druid shapeshift form. And tree of
00:01:28.960	3.76	life is no exception. While in tree
00:01:30.799	4.32	form, you're limited to casting only
00:01:32.720	4.96	healing over time spells, swift men,
00:01:35.119	4.96	nature swiftness, intervate, battle res,
00:01:37.680	4.32	and cure poison effects. That means you
00:01:40.079	4.08	can't cast any damaging spells,
00:01:42.000	4.32	crowdcontrolling spells, healing touch,
00:01:44.159	4.56	or deurse without being kicked out of
00:01:46.320	4.56	tree form. That sounds bad at first, but
00:01:48.720	3.84	most of it doesn't really interfere with
00:01:50.880	4.16	your role as a healer. For the most
00:01:52.560	4.88	part, TBC raids don't require healers to
00:01:55.040	5.04	deal damage, and healing touch is only
00:01:57.439	5.04	used in one specific scenario. So, that
00:02:00.079	3.60	leaves deurse as the one minor annoyance
00:02:02.479	2.88	that you'll notice with this
00:02:03.680	3.60	restriction. You're still one of the
00:02:05.360	4.08	only two classes that are able to
00:02:07.280	4.24	deurse. So, it's just something you'll
00:02:09.440	4.32	have to deal with when it comes up. The
00:02:11.520	5.44	other downside to tree form is you move
00:02:13.760	4.96	20% slower in this form. But if you know
00:02:16.959	4.24	the mechanics of the fight, you won't
00:02:18.720	4.56	actually be affected by this very often.
00:02:21.200	4.72	As a druid, you have the incredible perk
00:02:23.280	4.56	of being able to heal while moving, and
00:02:25.920	3.84	this allows you to preposition yourself
00:02:27.840	4.00	for mechanics before they actually
00:02:29.760	4.08	happen. The benefits of tree form far
00:02:31.840	4.32	outweigh the negatives, and outside of
00:02:33.840	4.40	very specific scenarios, you'll always
00:02:36.160	4.88	be in this form. So, you'll have to get
00:02:38.239	5.12	used to this. Onto the druid's healing
00:02:41.040	3.92	spells. Lifeloom is Rust Druid's new
00:02:43.360	3.84	healing overtime effect with this
00:02:44.959	3.84	expansion. It's easily their most mana
00:02:47.200	3.84	efficient heal, and it's incredibly
00:02:48.800	4.64	versatile once the druid understands how
00:02:51.040	4.80	it works. The spell ticks every second
00:02:53.440	4.16	for 7 seconds. If the druid doesn't
00:02:55.840	3.92	refresh the lifeloom by the seventh
