    2.08	 7.34	[Music]
    9.44	 5.52	how are you all doing tonight my name is
   12.00	 5.68	big bombed boy and welcome
   14.96	 3.68	to a hunter's guide to phase two biss oh
   17.68	 3.44	yes
   18.64	 4.96	phase two is nearly upon us with two new
   21.12	 6.24	raids and you know what that means more
   23.60	 6.72	dope [ __ ] for us hunters to get as is
   27.36	 4.56	usual with this list i'm gonna cover
   30.32	 4.00	well almost everything
   31.92	 4.24	six percent hits at nine percent headset
   34.32	 4.32	energy considerations survival
   36.16	 4.56	considerations maybe even
   38.64	 3.44	racial considerations for those hunters
   40.72	 3.44	that like to keep their feet on the
   42.08	 4.16	ground
   44.16	 4.24	so stupid we are going to break it down
   46.24	 5.28	piece by piece but first we're going to
   48.40	 3.12	look at our tier set
   51.76	 5.92	beast lord throw it in the trash demon
   54.48	 4.88	stalker throw it in the trash wait no
   57.68	 4.00	keep two pieces for the set bonus that
   59.36	 3.44	is the best set bonus that has ever
   61.68	 3.76	lived
   62.80	 3.60	without a doubt rift stalker is dope
   65.44	 4.40	[ __ ]
   66.40	 6.72	i love these set bonuses the four piece
   69.84	 5.36	gives five percent crit to steady shot
   73.12	 3.68	okay that's really boring but damage
   75.20	 3.28	numbers wise
   76.80	 3.68	is quite good
   78.48	 4.88	the two-piece is actually incredibly
   80.48	 6.64	interesting causes your pet to be healed
   83.36	 7.68	for 15 percent of the damage you deal
   87.12	 7.44	how much of a dps gain is that um
   91.04	 5.68	well that's pretty hard to quantify
   94.56	 5.04	if your raid healers are healing your
   96.72	 5.04	pets it's probably zero
   99.60	 5.76	if it saves you from having to use mend
  101.76	 5.92	pet that's usually one extra steady shot
  105.36	 4.72	for each one of those men pets
  107.68	 4.40	alright i like where this is going
  110.08	 3.76	if it saves your pet from dying it's
  112.08	 4.08	[ __ ] huge
  113.84	 4.64	if you're creative you might be able to
  116.16	 4.48	keep your pet uptime noticeably higher
  118.48	 4.00	with the said bonus with it and
  120.64	 4.48	avoidance you might not have to move it
  122.48	 5.60	out of nearly as many aoes there's
  125.12	 6.08	definitely some potential here and in a
  128.08	 4.64	rare case all five pieces of the set are
  131.20	 3.76	pretty good
  132.72	 4.80	a lot of the tier four pieces they just
  134.96	 5.44	they sucked it wasn't the set bonus
  137.52	 4.72	alone that kept us on beastlord
  140.40	 4.96	since all five pieces are good the
  142.24	 6.56	question inevitably becomes
  145.36	 5.44	which piece do we drop
  148.80	 3.28	[ __ ] all right i'm gonna try to make
  150.80	 5.20	sense here
  152.08	 6.64	try one common way will be to use ranger
  156.00	 6.00	general's chest guard this is not the
  158.72	 4.40	most dps but it's only very slightly
  162.00	 2.96	behind
  163.12	 4.48	and there's a good reason for this being
  164.96	 4.00	an option to consider the t5 chest drops
  167.60	 3.92	off keothos
  168.96	 5.28	probably will be the last boss you kill
  171.52	 3.92	in tier five ranger generals drops from
  174.24	 3.68	hydros
  175.44	 4.16	probably will be the first boss you kill
  177.92	 3.44	in tier five if you know it's going to
  179.60	 2.88	take a while for your raid to kill kale
  181.36	 3.44	those
  182.48	 5.60	and then you to get the tear chest
  184.80	 6.48	this is a somewhat pragmatic option and
  188.08	 5.04	you know how much i treasure pragmatism
  191.28	 3.28	probably a bit more common option is to
  193.12	 3.60	drop the pants
  194.56	 4.64	i'm not going to make that joke again
  196.72	 5.04	leggings of murderous intent
  199.20	 4.88	really really good even with no sockets
  201.76	 5.36	they've got some huge ass stats
  204.08	 4.96	now these do also drop from kalethos but
  207.12	 3.28	i don't think the competition will be
  209.04	 3.52	that high
  210.40	 4.16	dps warriors might want them i don't
  212.56	 3.60	know maybe rhett uh
  214.56	 3.44	a lot of other specs are gonna want
  216.16	 3.68	their tear legs
  218.00	 4.08	you may be thinking
  219.84	 4.72	void reaver greaves are really nice why
  222.08	 4.64	not use those that actually puts you in
  224.56	 3.12	about the same place as using ranger
  226.72	 2.00	general
  227.68	 3.12	which
  228.72	 3.76	that's fine but the tier 5 pants are
  230.80	 2.72	still easier to get than the tier 5
  232.48	 3.12	chest
  233.52	 4.40	so it could work but that's a pretty
  235.60	 4.40	uncommon place to be
  237.92	 4.56	four-piece riff-stalker with murderous
  240.00	 5.52	intent is probably going to be the way
  242.48	 5.84	to go for most people
  245.52	 5.12	but let's look at a few other options
  248.32	 3.84	what if we try replacing like the gloves
  250.64	 2.80	with
  252.16	 4.56	gloves of
  253.44	 4.88	dexterous manipulation from a to me no
  256.72	 4.24	no i don't do that
  258.32	 5.12	uh the shoulders the tier 5 shoulders
  260.96	 3.92	are really goddamn good two sockets
  263.44	 3.60	there's these
  264.88	 2.88	they have a cool name but that's about
  267.04	 3.68	it
  267.76	 6.64	so that only leaves us with the helm
  270.72	 6.32	engineering goggles hey oh yeah well
  274.40	 5.28	[ __ ] actually hell no
  277.04	 5.92	it's not really far behind but it's also
  279.68	 5.36	not going to really be worth using
  282.96	 5.44	the biggest reason is all the hit we are
  285.04	 5.20	already swimming in an absolute piss
  288.40	 4.40	colored sea of hit
  290.24	 5.36	all the t5 pieces have hit
  292.80	 5.44	except for the helm there's only one
  295.60	 4.32	other slot we can really drop hit in
  298.24	 3.76	and the non-hit replacements for that
  299.92	 5.12	aren't really great anyway
  302.00	 5.52	this is devastating literal nut crushing
  305.04	 4.80	information i was so
  307.52	 5.76	excited for the goggles but
  309.84	 5.28	under jesus has smote us engineers
  313.28	 4.24	so an interesting question is how many
  315.12	 3.20	pieces do we want before we swap
  317.52	 3.60	or
  318.32	 5.04	before we throw beast lord in the trash
  321.12	 6.00	a lot of people say four pieces but the
  323.36	 6.32	difference between p1bis and p2bis is
  327.12	 4.56	not insignificant so
  329.68	 3.04	maybe two pieces
  331.68	 4.48	well
  332.72	 5.76	nah probably not the only way swapping
  336.16	 4.96	at two pieces would be worth it as if
  338.48	 4.64	that two-piece set bonus is noticeably
  341.12	 3.68	increasing your pet uptime keeping it
  343.12	 4.64	from dying you know really doing work
  344.80	 5.28	for you so for most people four piece
  347.76	 5.04	will be in the swap point which
  350.08	 5.68	i have to admit does kind of suck all
  352.80	 5.28	right so that's settled i think let's
  355.76	 3.68	move on to the off pieces now
  358.08	 3.60	although you know i was thinking we're
  359.44	 4.16	going into tier five here phase two
  361.68	 2.96	there are two great raids that i really
  363.60	 3.20	love
  364.64	 3.44	but they're missing something
  366.80	 3.28	they're missing
  368.08	 4.32	dragons where
  370.08	 4.56	are the dragons i know where the dragons
  372.40	 5.36	are they're in dragon champions a
  374.64	 5.52	free-to-play turn-based fantasy rpg on
  377.76	 5.20	mobile dragon champions has a
  380.16	 4.64	surprisingly deep storyline with a lot
  382.96	 4.00	of humor it's actually gotten the
  384.80	 3.76	chuckle out of me quite a few times
  386.96	 3.04	but it has a lot of other great things
  388.56	 5.04	going for it there's a lot of different
  390.00	 5.28	types of content like you can pve or pvp
  393.60	 4.56	depending on what you're into at the
  395.28	 5.28	time i really like how engaged with the
  398.16	 3.92	community the devs are they have a
  400.56	 3.92	public discord server where they
  402.08	 3.44	regularly take feedback from players
  404.48	 3.12	that's something that's very important
  405.52	 5.36	to me my second favorite thing has to be
  407.60	 7.28	the art style i love it it's reminiscent
  410.88	 4.80	of warcraft but also reminds me of koa
  414.88	 1.76	but
  415.68	 2.56	more
  416.64	 3.76	original i think i mean
  418.24	 5.20	look at this guy nice
  420.40	 6.80	and this guy damn but likely my favorite
  423.44	 5.84	part about dc it is free to play and
  427.20	 3.44	there are no mandatory micro
  429.28	 3.20	transactions you can do everything
  430.64	 3.60	without paying i've put a link down in
  432.48	 3.60	the pinned comments so you can download
  434.24	 5.28	dragon champions from there and make
  436.08	 5.04	sure you use my promo code bbb
  439.52	 3.92	2107
  441.12	 4.56	that will provide you with robin bad a
  443.44	 3.60	very nice hero with an even nicer hat
  445.68	 3.52	but i've got to show you some more of
  447.04	 4.96	how this game looks i seriously love the
  449.20	 4.00	art style and it looks incredible on my
  452.00	 4.96	phone here are some of my favorite
  453.20	 6.80	heroes you've got vanessa a goblin nurse
  456.96	 5.12	i like that and boris yes your eyes do
  460.00	 5.60	not deceive you that is an eagle with a
  462.08	 5.76	crossbow i had no idea how much i needed
  465.60	 4.32	that in my life once you're logged on
  467.84	 4.48	click the cog in the top right then
  469.92	 4.28	click use promo code again that promo
  472.32	 6.24	code is
  474.20	 5.72	bbb2107 and claim your badass robin bad
  478.56	 3.60	but wait
  479.92	 5.92	there's more not only do you get robin
  482.16	 8.48	bad you'll also get 500 drac coins 500
  485.84	 6.72	energy and 250 000 gold coins wow that's
  490.64	 4.48	a big number but only if you use my
  492.56	 6.72	promo code a massive thanks to dragon
  495.12	 6.40	champions now let's get back to p2biss
  499.28	 5.04	let's move on to the off pieces now
  501.52	 5.52	bracers p1 bracers sucked
  504.32	 3.76	old hillsbrad heroic is if anything
  507.04	 4.00	gross
  508.08	 4.08	thankfully p2 does a lot better on
  511.04	 3.44	bracers
  512.16	 3.44	in fact it might be our easiest slot to
  514.48	 4.36	gear
  515.60	 6.16	we have no joke three options for
  518.84	 5.40	brazers vambraces of ending dropping
  521.76	 5.20	from solarian and tk
  524.24	 4.80	bands of the celestial archer dropping
  526.96	 4.56	from tk trash
  529.04	 4.64	and true aim stalker bands from
  531.52	 5.20	leothorus in ssc
  533.68	 5.44	as far as dps goes vam braces of ending
  536.72	 4.56	are the highest but the other two are
  539.12	 4.40	quite close they're close enough that i
  541.28	 5.12	would go for whichever makes the most
  543.52	 4.56	sense in your situation for me my raid
  546.40	 4.24	has a lot of farewells and free rogues
  548.08	 4.40	but barely any hunters why [ __ ] if i
  550.64	 4.00	know and in the fact that they're also a
  552.48	 3.92	trash drop i'm gonna go for celestial
  554.64	 3.20	archer another consideration is
  556.40	 3.12	obviously survival which we'll talk a
  557.84	 3.12	little bit more about later the only
  559.52	 5.52	thing you might want to watch out for is
  560.96	 5.04	celestial archer has no stam on it
  565.04	 3.60	belt
  566.00	 5.76	our best belt is going to be belt of
  568.64	 5.68	deep shadow which is surprisingly
  571.76	 4.56	crafted there's also belt of the black
  574.32	 4.56	eagle which is so incredibly close to
  576.32	 5.84	deep shadow thing is i would steer you
  578.88	 5.44	towards deep shadow the mats are similar
  582.16	 4.80	and if you ever want to play surf deep
  584.32	 6.48	shadow is much much better oh yeah the
  586.96	 6.08	mats they both take two nether vortex
  590.80	 3.92	early on these just aren't going to a
  593.04	 3.92	hunter belt
  594.72	 4.08	but it shouldn't take too long before
  596.96	 5.12	we're able to get them unless your guild
  598.80	 5.20	is just having terrible luck with drops
  602.08	 4.40	so we do want to aim for getting deep
  604.00	 5.60	shadow made until then i would just rock
  606.48	 6.32	ground stitch girdle from p1
  609.60	 5.36	there is also belt of 100 deaths
  612.80	 4.48	dropping from vosh
  614.96	 3.76	which is actually slightly more dps than
  617.28	 3.68	deep shadow
  618.72	 4.48	even though it has expertise the reason
  620.96	 5.28	for that is the hit on deep shadow is
  623.20	 5.60	wasted in a six percent hit set as i
  626.24	 5.52	mentioned earlier piss colored sea of
  628.80	 5.44	hit if for some reason 100 deaths drops
  631.76	 5.28	and no one in the raid wants it which
  634.24	 5.76	won't happen then take it otherwise
  637.04	 5.68	we're going to want deep shadow made
  640.00	 5.28	boots thankfully like bracers boots are
  642.72	 4.80	an easy slot star schreider boots from
  645.28	 6.40	solarian and tk
  647.52	 6.40	or cobra lash boots from bosch in ssc
  651.68	 3.92	doesn't matter yeah use whichever one is
  653.92	 3.44	easier for you to get
  655.60	 5.04	they have the same stats when it comes
  657.36	 5.60	to dps and both have two sockets
  660.64	 4.72	if you're really low on stam you can try
  662.96	 5.04	to prioritize cobra lash because they do
  665.36	 5.44	have more stamp but otherwise pretty
  668.00	 4.96	easy slot thanks 2007 hopefully pre
  670.80	 4.56	cosby sweet blizzard most importantly
  672.96	 3.84	though these boots have the same graphic
  675.36	 3.60	oh yes
  676.80	 4.48	you heard that right they both match
  678.96	 4.56	tier five and looks are the most
  681.28	 4.80	important stat in the game
  683.52	 5.12	sim it if you don't believe me
  686.08	 3.60	cape we do get a new cape and it is
  688.64	 3.28	nice
  689.68	 4.64	the lassian wilder cloak dropping from
  691.92	 4.80	kale those it's a direct upgrade over
  694.32	 3.68	our badge cape now compared to vengeance
  696.72	 4.12	rap
  698.00	 6.96	it it's still an upgrade you want this
  700.84	 7.32	cape t5 brings the bling t5 makes
  704.96	 5.28	jared's jewelers look like ring pops
  708.16	 3.92	necklace okay necklace might be our
  710.24	 3.44	worst slot in p2
  712.08	 4.32	there are basically
  713.68	 5.60	two good new necklaces
  716.40	 5.68	talonicus is pendant of mayhem and
  719.28	 4.00	pendant of animalistic fury from the
  722.08	 4.00	lurker below
  723.28	 3.60	telonicus is really good it is p-tube
  726.08	 3.44	biss
  726.88	 4.80	now if you want to animalize
  729.52	 4.40	it's not really worth it
  731.68	 3.28	if you have saber claw or even morgan
  733.92	 2.32	call
  734.96	 4.08	badge neck
  736.24	 5.36	the gain is really really small
  739.04	 5.44	but the jump to talonicus is noticeable
  741.60	 5.52	and worth it problem is it's from virgin
  744.48	 5.76	spear which it's like kt's head
  747.12	 6.08	and that rewards bisnick for a lot of
  750.24	 4.32	specs colonicus is the neck we want but
  753.20	 5.20	we might have to break out the
  754.56	 7.04	chloroform rag to get it
  758.40	 5.36	bracelet so the best bracelet is from of
  761.60	 4.80	all places thousand miles of turtle rack
  763.76	 5.68	an absolute coked out mountain goat of a
  766.40	 5.84	dungeon i know but oh [ __ ] wrong game
  769.44	 4.64	wow doesn't have bracelets wait are
  772.24	 5.28	bracers bracelets
  774.08	 4.72	rings okay rings might not be that bad
  777.52	 3.52	the first one
  778.80	 4.56	we should probably already have it's
  781.04	 4.08	ring of the recalcified trent
  783.36	 4.48	which is from mag theredin's head and
  785.12	 4.40	was in our p1 best list
  787.84	 3.44	the second ring is a little more
  789.52	 4.08	complicated because there's kind of two
  791.28	 5.28	ways to go about it there's ben of the
  793.60	 5.68	ranger general dropping from kael'thas
  796.56	 4.64	and there's ring of lethality
  799.28	 3.92	dropping from hydros
  801.20	 4.00	if you have ranger general's chest card
  803.20	 3.92	well i'm not sure who the designer was
  805.20	 4.56	but band of the ranger general is part
  807.12	 4.88	of that same 2000 collection so it
  809.76	 5.12	matches nicely it's also just really
  812.00	 5.76	good it's got a lot of crit i like crits
  814.88	 5.68	you like crits so why ever go for
  817.76	 5.76	lethality couple of reasons it's from
  820.56	 5.28	hydros so it's easier to get but maybe
  823.52	 4.80	more importantly if there's any chance
  825.84	 4.24	you'll play serve ranger general is
  828.32	 3.44	balls for serve
  830.08	 3.28	and the dps difference between the two
  831.76	 3.36	for bm
  833.36	 3.20	well there is no difference it's the
  835.12	 3.04	same dps
  836.56	 3.92	when you're buffed
  838.16	 4.16	so personally i would not bother with
  840.48	 4.32	ranger generals and just go for
  842.32	 4.16	lethality if it ends up easier for you
  844.80	 3.60	to get ranger generals it is fine to
  846.48	 3.84	take that instead as long as you're not
  848.40	 3.76	ever going to play survival you may
  850.32	 2.80	notice both of these rings have hit
