start	duration	text
00:00:00.080	4.24	in vanilla holy priests were considered
00:00:01.920	4.40	the strongest healer by most but in tbc
00:00:04.319	3.04	they face much deeper competition and it
00:00:06.319	2.80	begs the question
00:00:07.359	3.12	what makes holy priest worthy of being
00:00:09.120	2.40	your main that's what we'll try to
00:00:10.480	2.72	answer in this video
00:00:11.519	4.00	we'll start off with the two distinct
00:00:13.200	2.88	variations of the holy specialization in
00:00:15.519	2.72	tbc
00:00:16.080	4.00	the first is the deep holy build this
00:00:18.240	3.60	features an incredibly powerful talent
00:00:20.080	3.68	called circle of healing a spell that
00:00:21.840	2.80	drastically improves your aoe healing
00:00:23.760	2.72	capabilities
00:00:24.640	3.84	this build makes holy priests one of the
00:00:26.480	2.48	strongest flex healers in the game group
00:00:28.480	2.40	healing
00:00:28.960	3.52	raid healing tank healing and just about
00:00:30.880	3.12	everything in between the circle of
00:00:32.480	2.32	healing priests can do it and they can
00:00:34.000	3.12	do it well
00:00:34.800	4.40	improved divine spirit is the informal
00:00:37.120	4.32	name for the other variant of the holy
00:00:39.200	4.16	specialization while it's less versatile
00:00:41.440	3.92	than its circle of healing counterpart
00:00:43.360	4.08	it's just as desirable in most of the
00:00:45.360	3.92	expansion this build sacrifices some
00:00:47.440	3.84	throughput talents in the holy tree
00:00:49.280	3.84	to gain the divine spirit talent as well
00:00:51.280	3.04	as the improved divine spirit complement
00:00:53.120	2.88	we'll take a deeper look at the
00:00:54.320	3.20	differences between these two builds in
00:00:56.000	3.28	a later section but first
00:00:57.520	3.60	let's take a look at the healing spells
00:00:59.280	4.64	available to the holy priest
00:01:01.120	4.88	first up is renew this healing over time
00:01:03.920	4.08	spell saw limited usage in vanilla
00:01:06.000	3.68	because of its poor mana efficiency
00:01:08.000	3.44	and relatively low throughput that
00:01:09.680	3.76	changes in the burning crusade this was
00:01:11.439	4.48	largely due in part to the changes made
00:01:13.439	4.48	to hot in patch 2.0.1
00:01:15.920	3.12	the first of which gave bonus healing
00:01:17.920	3.52	effects from gear
00:01:19.040	3.68	and talent a much higher contribution to
00:01:21.439	3.44	the amount of healing
00:01:22.720	4.08	produced by healing over time effects
00:01:24.880	3.92	the second change made it possible for
00:01:26.799	3.12	multiple priests to have an active renew
00:01:28.799	3.52	on the same target
00:01:29.920	4.48	at the same time so renew has value in
00:01:32.320	3.76	just about every healing situation but
00:01:34.400	2.72	there's a few healing assignments where
00:01:36.079	2.72	it really shines
00:01:37.119	3.60	like when you're tank healing renew
00:01:38.799	4.00	helps to smooth out the incoming damage
00:01:40.720	4.00	as well as stabilizes the tank's health
00:01:42.799	3.68	during periods where tank killers are
00:01:44.720	3.84	either on the move or crowd control
00:01:46.479	3.20	an example of this would be refreshing
00:01:48.560	3.20	your tank's renew
00:01:49.680	3.84	before the raid wide fear mechanic on
00:01:51.759	2.32	the archimonde encounter from mount
00:01:53.520	2.80	hyjal
00:01:54.079	3.28	renew is also an excellent tool for raid
00:01:56.320	3.20	healing duties
